stockname,date,ii,nii,oi,revenue
农业银行,20071231,15746500,2299500,-122300,17923700
交通银行,20141231,13477600,2960400,817600,17740100
交通银行,20131231,13065800,2596800,25300,16443500
交通银行,20121231,12012600,2088200,209300,14733700
交通银行,20111231,10260100,1954900,196400,12695600
交通银行,20101231,8499500,1447900,153500,10423400
交通银行,20091231,6656400,1139900,234200,8093700
交通银行,20081231,6563600,883700,209600,7666000
交通银行,20071231,5374200,718800,128000,6232200
工商银行,20141231,49352200,13249700,793400,65889200
工商银行,20131231,44333500,12232600,1242700,58963700
工商银行,20121231,41782800,10606400,571300,53694500
工商银行,20111231,36276400,10155000,628000,47521400
工商银行,20101231,30374900,7284000,394800,38082100
工商银行,20091231,24582100,5514700,810500,30945400
工商银行,20081231,26303700,4400200,229100,30975800
工商银行,20071231,22446500,3438400,-611600,25415700
光大银行,20141231,5825900,1915700,98600,7853100
光大银行,20131231,5086200,1495200,-66700,6530600
光大银行,20121231,5026300,947900,7100,5991600
光大银行,20111231,3944023.6,697311.9,-39992,4607255.3
光大银行,20101231,3042206.9,470852.8,36311.4,3552998.5
光大银行,20091231,1960206.1,315662.4,146685.4,2425865.3
光大银行,20081231,2233573.7,217431.5,16759.6,2470099.8
光大银行,20071231,1777242,118962.3,104591.7,2004436.5
建设银行,20141231,43739800,10851700,805100,57047000
建设银行,20131231,38954400,10428300,769400,50860800
建设银行,20121231,35320200,9350700,841700,46074600
建设银行,20111231,30457200,8699400,441200,39709000
建设银行,20101231,25150000,6613200,552100,32348900
建设银行,20091231,21188500,4805900,699000,26718400
建设银行,20081231,22492000,3844600,402500,26750700
建设银行,20071231,19277500,3131300,-479600,21945900
中国银行,20141231,32110200,9124000,2356900,45633100
中国银行,20131231,28358500,8209200,1873600,40750800
中国银行,20121231,25696400,6992300,1916600,36609100
中国银行,20111231,22806400,6466200,2226000,32816600
中国银行,20101231,19396200,5448300,1568000,27681700
中国银行,20091231,15888100,4601300,1337200,23219800
中国银行,20081231,16293600,3994700,1162500,22828800
中国银行,20071231,15274500,2748800,43600,18066900
中信银行,20141231,9474100,2531300,466200,12471600
中信银行,20131231,8568800,1681100,205900,10455800
中信银行,20121231,7548600,1121000,273900,8943500
中信银行,20111231,6510600,883700,300500,7694800
中信银行,20101231,4813500,569600,193400,5576500
中信银行,20091231,3598400,422000,59700,4080100
中信银行,20081231,3609100,304500,101900,4015500
中信银行,20071231,2617000,208000,-41200,2783800
